Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT
2020-03-23,ETHUSDT,122.32,137.5,119.5,135.92,1436796.12,184851609.12
2020-03-22,ETHUSDT,132.66,137.13,121.1,122.32,1055699.87,135927941.08
2020-03-21,ETHUSDT,133.48,137.49,125.69,132.66,1231842.11,162468451.77
2020-03-20,ETHUSDT,136.3,152.55,116.74,133.48,2504057.64,345856006.75
2020-03-19,ETHUSDT,118.11,143.13,115.46,136.3,1801071.19,231626928.16
2020-03-18,ETHUSDT,115.67,118.5,109.86,118.11,1201850.31,137550912.09
2020-03-17,ETHUSDT,111.02,120.8,109.38,115.67,1295108.48,150800664.07
2020-03-16,ETHUSDT,123.78,124.33,101.1,111.02,2442064.14,270353891.81
2020-03-15,ETHUSDT,122.54,133.5,120.16,123.78,1312950.9,163436235.27
2020-03-14,ETHUSDT,134.06,134.68,120,122.54,1237674.89,159192895.55
2020-03-13,ETHUSDT,107.82,139.68,86,134.06,4663239.93,560710331.84
2020-03-12,ETHUSDT,194.61,195.55,101.2,107.82,3814533.14,548668262.23
2020-03-11,ETHUSDT,200.7,203.18,181.73,194.61,1079824.9,208232375.19
2020-03-10,ETHUSDT,202.81,206.2,195.54,200.7,1020260.11,205536190.19
2020-03-09,ETHUSDT,199.43,208.62,190,202.81,1661331.84,332570408.54
2020-03-08,ETHUSDT,237.23,237.23,195.5,199.43,1278973.54,277970187.87
2020-03-07,ETHUSDT,244.88,251.93,236,237.23,633748.9,154037325.61
2020-03-06,ETHUSDT,228.38,245.16,227.33,244.88,628147.33,148563741.83
2020-03-05,ETHUSDT,224.26,234.09,224.23,228.38,601479.88,138081898.29
2020-03-04,ETHUSDT,223.91,228.85,220.23,224.26,425050.28,95438066.19
2020-03-03,ETHUSDT,231.97,232.46,219.57,223.91,700272.18,158748020.41
2020-03-02,ETHUSDT,217.81,234.4,216.07,231.97,758006.68,171170074.64
2020-03-01,ETHUSDT,217.21,227.89,212.36,217.81,668295.93,146809248.97
2020-02-29,ETHUSDT,226.76,233,217,217.21,515094.86,116461305.18
2020-02-28,ETHUSDT,227.79,234.67,214.01,226.76,986146.67,220679444.17
2020-02-27,ETHUSDT,223.93,238.3,210,227.79,1183975.86,267102824.95
2020-02-26,ETHUSDT,246.67,250.32,215.66,223.93,1287623.05,299185710.87
2020-02-25,ETHUSDT,265.52,266.22,244.44,246.67,717649.65,182912035.33
2020-02-24,ETHUSDT,274.48,277.2,257.09,265.52,650950.16,173787880.48
2020-02-23,ETHUSDT,261.57,275.68,261.02,274.48,418526.36,112943424.67
2020-02-22,ETHUSDT,265.27,266.81,256,261.57,298377.68,77946875.29
2020-02-21,ETHUSDT,256.96,268.24,253.61,265.27,497792.41,130500107.35
2020-02-20,ETHUSDT,258.45,264.33,245.34,256.96,901509.83,231103274.96
2020-02-19,ETHUSDT,282.61,285,251.56,258.45,644589.32,175285824.01
2020-02-18,ETHUSDT,267.85,285.88,258,282.61,1031283.77,281171988.2
2020-02-17,ETHUSDT,258.85,268.77,242,267.85,1032013.25,260587600.27
2020-02-16,ETHUSDT,264.88,274,237.41,258.85,1018461.31,262816513.17
2020-02-15,ETHUSDT,285.15,288.41,261.86,264.88,790454.21,217055957.95
2020-02-14,ETHUSDT,268.32,287.15,260.28,285.15,684464.77,187263398.47
2020-02-13,ETHUSDT,265.74,277.69,256.08,268.32,1011436.81,270614332.61
2020-02-12,ETHUSDT,236.69,275.34,236.69,265.74,963171.41,247432452.61
2020-02-11,ETHUSDT,222.89,239.15,218.17,236.69,562753.63,128349395.73
2020-02-10,ETHUSDT,228.49,229.4,216.37,222.89,478273.92,106265469.63
2020-02-09,ETHUSDT,223.05,230.65,222.86,228.49,332848.82,75699299.01
2020-02-08,ETHUSDT,223.33,227.75,213.22,223.05,517161.42,115090436.92
2020-02-07,ETHUSDT,213.19,225,213.14,223.33,592719.22,130454546.41
2020-02-06,ETHUSDT,203.78,216.33,201.02,213.19,570248.32,119880246.47
2020-02-05,ETHUSDT,188.91,207.61,188.19,203.78,519658.37,102470847.31
2020-02-04,ETHUSDT,189.69,191.6,184.69,188.91,352075.61,66035866.04
2020-02-03,ETHUSDT,188.44,195.19,186.62,189.69,395877.93,75286672.7
2020-02-02,ETHUSDT,183.6,193.43,179.1,188.44,522974.41,98521833.63
2020-02-01,ETHUSDT,179.99,184.28,179.23,183.6,248894.59,45354872.22
2020-01-31,ETHUSDT,184.69,185.82,175.22,179.99,366753.1,66236792.63
2020-01-30,ETHUSDT,173.72,187,170.93,184.69,454700.34,81049668.32
2020-01-29,ETHUSDT,175.64,178.45,173.33,173.72,304544.32,53722594.27
2020-01-28,ETHUSDT,170.08,176.2,170.03,175.64,453091.09,78136436.79
2020-01-27,ETHUSDT,167.86,172.56,165.22,170.08,350541.8,59247889.07
2020-01-26,ETHUSDT,160.35,168.08,159.41,167.86,242715.51,39785481.66
2020-01-25,ETHUSDT,162.54,162.79,157.61,160.35,212430.29,33997912.86
2020-01-24,ETHUSDT,162.81,164.45,155.55,162.54,408675.73,65566039.99
2020-01-23,ETHUSDT,168.07,168.2,159.21,162.81,356492.08,58213358.74
2020-01-22,ETHUSDT,169.49,171.47,166.03,168.07,262360.65,44239157.68
2020-01-21,ETHUSDT,166.87,170.32,164.8,169.49,296061.29,49612520.37
2020-01-20,ETHUSDT,166.79,169.33,161.24,166.87,344308.07,57012558.32
2020-01-19,ETHUSDT,174.14,178.05,161.66,166.79,590460.39,99921047.78
2020-01-18,ETHUSDT,169.85,179.5,164.92,174.14,648779.16,112443904.23
2020-01-17,ETHUSDT,164.21,174.81,162.14,169.85,728816.58,123404702.28
2020-01-16,ETHUSDT,166.4,167.4,157.8,164.21,436728.25,70887785.19
2020-01-15,ETHUSDT,165.64,171.98,159.2,166.4,682321.61,112726563.22
2020-01-14,ETHUSDT,143.58,171.7,143.51,165.64,1039531.63,162672528.51
2020-01-13,ETHUSDT,146.54,147,142.27,143.58,199870.41,28720164.84
2020-01-12,ETHUSDT,142.38,146.6,141.76,146.54,222040.14,32030854.2
2020-01-11,ETHUSDT,144.84,148.05,142.09,142.38,353193.99,50961058.63
2020-01-10,ETHUSDT,137.74,145.17,135.32,144.84,391085.16,54795122.16
2020-01-09,ETHUSDT,140.72,141.5,135.3,137.74,351351.39,48576609.83
2020-01-08,ETHUSDT,142.8,147.77,137.03,140.72,544245.87,77457458.44
2020-01-07,ETHUSDT,144.15,145.31,138.76,142.8,428370.82,61099348.85
2020-01-06,ETHUSDT,135.37,144.41,134.86,144.15,390887.66,54988844.02
2020-01-05,ETHUSDT,134.2,138.19,134.19,135.37,245430.22,33409389.29
2020-01-04,ETHUSDT,134.35,135.85,132.5,134.2,177443.01,23726825.61
2020-01-03,ETHUSDT,127.19,135.14,125.88,134.35,393667.19,51594031.35
2020-01-02,ETHUSDT,130.77,130.78,126.38,127.19,205584.82,26439112.56
2020-01-01,ETHUSDT,129.16,133.05,128.68,130.77,139914.06,18315112.72
2019-12-31,ETHUSDT,131.59,133.68,128.17,129.16,253609.59,33199288.04
2019-12-30,ETHUSDT,134.36,136.24,130.3,131.59,310948.96,41385306.38
2019-12-29,ETHUSDT,128.11,138.07,127.52,134.36,305028.93,40385912.31
2019-12-28,ETHUSDT,126.29,129.68,125.84,128.11,190522.36,24362386.14
2019-12-27,ETHUSDT,125.58,127.1,121.91,126.29,230480.93,28830200.9
2019-12-26,ETHUSDT,125.09,132.26,124.32,125.58,264761.45,33640422.58
2019-12-25,ETHUSDT,127.75,127.84,123.07,125.09,217072.14,27152035.96
2019-12-24,ETHUSDT,127.8,129.69,126.61,127.75,195568.05,25019412.52
2019-12-23,ETHUSDT,132.09,135.1,126,127.8,403444.63,53113907.43
2019-12-22,ETHUSDT,126.99,133.07,126.82,132.09,243709.39,31709681.4
2019-12-21,ETHUSDT,128.19,128.4,126.5,126.99,132720.05,16884321.51
2019-12-20,ETHUSDT,128.1,129.39,125.84,128.19,207985.43,26512592.56
2019-12-19,ETHUSDT,132.78,134,125.69,128.1,403979.3,51631958.77
2019-12-18,ETHUSDT,121.88,134.87,116.26,132.78,833851.78,104177536.78
2019-12-17,ETHUSDT,132.73,132.98,119.11,121.88,532872.03,67861133.0
2019-12-16,ETHUSDT,142.46,142.72,127.93,132.73,437497.77,59139271.74
2019-12-15,ETHUSDT,141.79,144.12,139.92,142.46,145016.98,20618644.83
2019-12-14,ETHUSDT,144.8,145.07,141.18,141.79,120631.41,17228895.74
2019-12-13,ETHUSDT,144.87,146,142.8,144.8,154820.14,22356480.7
2019-12-12,ETHUSDT,143.39,145.85,139.24,144.87,251411.47,35967896.26
2019-12-11,ETHUSDT,145.56,146.34,142.12,143.39,151158.71,21813150.33
2019-12-10,ETHUSDT,147.38,148.57,143.81,145.56,196037.39,28695511.49
2019-12-09,ETHUSDT,150.44,151.19,146.56,147.38,234892.89,35021302.17
2019-12-08,ETHUSDT,147.14,151.62,146.11,150.44,198798.49,29636206.41
2019-12-07,ETHUSDT,148.45,149.49,146.85,147.14,137623.89,20378153.13
2019-12-06,ETHUSDT,148.1,149.77,145.74,148.45,214043.49,31571079.16
2019-12-05,ETHUSDT,145.38,149.02,143.64,148.1,290195.84,42477649.02
2019-12-04,ETHUSDT,147.17,151.98,143.15,145.38,413893.63,60816459.89
2019-12-03,ETHUSDT,148.65,149.93,145.77,147.17,190321.22,28172113.95
2019-12-02,ETHUSDT,150.73,151.42,146.71,148.65,226368.37,33657545.76
2019-12-01,ETHUSDT,151.37,152.49,145.79,150.73,333805.18,49605475.6
2019-11-30,ETHUSDT,154.57,155.25,149.7,151.37,218242.2,33306015.62
2019-11-29,ETHUSDT,150.72,157.6,150.23,154.57,315232.94,48567578.38
2019-11-28,ETHUSDT,152.62,154.63,149.09,150.72,308095.64,46862761.54
2019-11-27,ETHUSDT,147.47,155.54,140.84,152.62,539755.24,79800282.92
2019-11-26,ETHUSDT,145.69,149.97,143.37,147.47,342000.93,50110636.19
2019-11-25,ETHUSDT,139.96,151.5,131.45,145.69,711134.93,100759034.77
2019-11-24,ETHUSDT,151.84,152.86,138.62,139.96,336632.03,49223900.92
2019-11-23,ETHUSDT,149.56,154.33,146.11,151.84,357594.29,53769734.85
2019-11-22,ETHUSDT,161.01,162.79,138,149.56,914039.56,138017241.52
2019-11-21,ETHUSDT,174.72,175.85,157.26,161.01,443493.41,73609842.18
2019-11-20,ETHUSDT,175.94,177.41,173.5,174.72,209156.3,36743385.21
2019-11-19,ETHUSDT,178.2,178.52,172.65,175.94,265307.87,46558860.83
2019-11-18,ETHUSDT,183.82,184.06,175.01,178.2,279081.64,50387496.8
2019-11-17,ETHUSDT,182.37,186.09,180,183.82,190857.89,35035505.71
2019-11-16,ETHUSDT,180,183.46,179.3,182.37,167665.99,30446498.61
2019-11-15,ETHUSDT,184.92,186.7,177.67,180,386654.39,70424985.1
2019-11-14,ETHUSDT,188.11,188.72,183.34,184.92,235062.8,43589930.86
2019-11-13,ETHUSDT,187.09,189.66,185.3,188.11,190888.69,35739562.15
2019-11-12,ETHUSDT,184.98,187.65,182.41,187.09,246483.11,45728031.54
2019-11-11,ETHUSDT,188.96,190.19,184.06,184.98,246368.68,46028172.19
2019-11-10,ETHUSDT,184.89,191.58,183.3,188.96,260963.45,49015886.33
2019-11-09,ETHUSDT,183.74,185.79,182.63,184.89,187106.31,34525992.08
2019-11-08,ETHUSDT,186.68,188.26,181.41,183.74,351666.53,64847399.15
2019-11-07,ETHUSDT,191.16,192.27,184.59,186.68,292788.86,
