Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-01-27,LTCBTC,0.009201,0.009272,0.008973,0.009074,134629.98,1230.41
2019-01-26,LTCBTC,0.009158,0.009358,0.009136,0.009201,139370.83,1291.06
2019-01-25,LTCBTC,0.009116,0.009211,0.008996,0.009158,121184.1,1103.59
2019-01-24,LTCBTC,0.008919,0.009239,0.008757,0.009116,134247.67,1205.99
2019-01-23,LTCBTC,0.008796,0.008998,0.00878,0.008919,119027.21,1058.2
2019-01-22,LTCBTC,0.008738,0.008896,0.00852,0.008796,147188.8,1285.04
2019-01-21,LTCBTC,0.008652,0.008794,0.008642,0.008738,79353.76,690.96
2019-01-20,LTCBTC,0.008725,0.00906,0.008511,0.008652,170399.14,1494.7
2019-01-19,LTCBTC,0.008562,0.00887,0.008559,0.008725,118086.58,1029.72
2019-01-18,LTCBTC,0.008689,0.008708,0.008481,0.008562,106426.09,914.24
2019-01-17,LTCBTC,0.008709,0.008745,0.008388,0.008689,174209.09,1491.63
2019-01-16,LTCBTC,0.008659,0.008766,0.008572,0.008709,108966.63,944.49
2019-01-15,LTCBTC,0.008749,0.008873,0.008502,0.008659,160020.61,1394.39
2019-01-14,LTCBTC,0.008508,0.008884,0.008485,0.008749,148631.59,1288.36
2019-01-13,LTCBTC,0.008835,0.009073,0.008431,0.008508,148623.99,1300.02
2019-01-12,LTCBTC,0.008741,0.008892,0.00868,0.008835,126043.75,1109.2
2019-01-11,LTCBTC,0.009152,0.009207,0.008656,0.008741,256261.92,2299.82
2019-01-10,LTCBTC,0.009625,0.009726,0.008874,0.009152,331916.04,3058.71
2019-01-09,LTCBTC,0.009785,0.009948,0.009603,0.009625,224772.44,2192.98
2019-01-08,LTCBTC,0.009398,0.0101,0.009337,0.009785,343572.38,3356.15
2019-01-07,LTCBTC,0.009602,0.009756,0.009286,0.009398,323256.17,3066.81
2019-01-06,LTCBTC,0.009107,0.01012,0.009017,0.009602,589113.42,5674.68
