Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT
2020-05-02,BTCUSDT,8826.96,9010,8753,8972.05,59002.09,523838859.54
2020-05-01,BTCUSDT,8620,9059.18,8613.56,8826.96,91468.82,805640126.63
2020-04-30,BTCUSDT,8778.57,9460,8401,8620,206277.21,1839283907.46
2020-04-29,BTCUSDT,7738.98,8952.89,7710.05,8778.57,183546.89,1536390177.04
2020-04-28,BTCUSDT,7774.62,7780,7659.12,7738.98,46302.75,357391780.93
2020-04-27,BTCUSDT,7693.1,7792.02,7606,7774.62,65441.34,504025811.65
2020-04-26,BTCUSDT,7538.67,7700,7480,7693.1,50522.62,384202783.27
2020-04-25,BTCUSDT,7505,7705,7431.07,7538.67,43874.43,331292050.77
2020-04-24,BTCUSDT,7482.39,7615.96,7388,7505,60182.12,452118137.79
2020-04-23,BTCUSDT,7125.14,7738,7020,7482.39,102773.57,756320213.59
2020-04-22,BTCUSDT,6841.37,7156.38,6818,7125.14,61486.38,431271646.18
2020-04-21,BTCUSDT,6826.83,6940,6762,6841.37,60109.71,411800606.08
2020-04-20,BTCUSDT,7120.74,7220,6751,6826.83,90149.49,629612368.75
2020-04-19,BTCUSDT,7248.6,7266.15,7055.6,7120.74,45664.86,326485586.93
2020-04-18,BTCUSDT,7027.55,7293.08,7014.4,7248.6,49488.54,354845083.78
2020-04-17,BTCUSDT,7101.94,7148.12,6972.98,7027.55,54126.51,382334236.17
2020-04-16,BTCUSDT,6621.24,7190,6468.27,7101.94,125009.86,865277543.39
2020-04-15,BTCUSDT,6868.7,6933,6605,6621.24,61571.38,416947490.62
2020-04-14,BTCUSDT,6837.91,6978,6754.28,6868.7,69068.62,474794776.19
2020-04-13,BTCUSDT,6903.79,6903.79,6575,6837.91,96415.48,649390681.25
2020-04-12,BTCUSDT,6876.83,7177,6780,6903.79,73868.67,516235035.19
2020-04-11,BTCUSDT,6858.92,6944.3,6760,6876.83,45470.29,311699573.52
2020-04-10,BTCUSDT,7283.54,7295.75,6739.98,6858.92,104674.62,727281590.77
2020-04-09,BTCUSDT,7361.28,7371.92,7108.08,7283.54,61094.87,444741085.9
2020-04-08,BTCUSDT,7197.32,7420,7150,7361.28,76059.15,555122600.28
2020-04-07,BTCUSDT,7329.9,7459.69,7077,7197.32,103585.17,757201786.7
2020-04-06,BTCUSDT,6772.78,7355.14,6765,7329.9,118052.0,837357664.65
2020-04-05,BTCUSDT,6856.99,6895.54,6677.52,6772.78,49685.36,337062083.0
2020-04-04,BTCUSDT,6734.1,6990.41,6650.01,6856.99,71387.02,484271784.72
2020-04-03,BTCUSDT,6794.09,7048,6602.1,6734.1,104080.28,710254017.1
2020-04-02,BTCUSDT,6642.92,7198,6551,6794.09,149299.91,1014494762.44
2020-04-01,BTCUSDT,6410.44,6679.94,6150.11,6642.92,97500.75,618527468.83
2020-03-31,BTCUSDT,6394.38,6523.23,6321.4,6410.44,72337.6,465780496.62
2020-03-30,BTCUSDT,5881.42,6599,5857.76,6394.38,118889.55,747569726.45
2020-03-29,BTCUSDT,6236.65,6266,5866.56,5881.42,63311.63,383707122.5
2020-03-28,BTCUSDT,6359.11,6360,6024,6236.65,93159.69,577986706.13
2020-03-27,BTCUSDT,6737.36,6842.59,6261,6359.11,82914.97,551326113.86
2020-03-26,BTCUSDT,6677.43,6780,6510,6737.36,83026.56,552537189.48
2020-03-25,BTCUSDT,6744.72,6957.96,6450,6677.43,132155.73,880250736.91
2020-03-24,BTCUSDT,6467.31,6833,6371.33,6744.72,151138.01,1001890515.24
2020-03-23,BTCUSDT,5816.19,6600,5688,6467.31,164674.22,1015525672.07
2020-03-22,BTCUSDT,6186.98,6407.87,5734.01,5816.19,119115.99,722895653.51
2020-03-21,BTCUSDT,6208.36,6456.98,5860.02,6186.98,128913.67,794962136.64
2020-03-20,BTCUSDT,6162.37,6900,5670,6208.36,219298.33,1401734013.18
2020-03-19,BTCUSDT,5393.04,6400,5252.53,6162.37,199020.87,1164739707.51
2020-03-18,BTCUSDT,5312.64,5436.17,5009.37,5393.04,137127.63,719748122.45
2020-03-17,BTCUSDT,5028.97,5525,4921.45,5312.64,150089.93,793147908.27
2020-03-16,BTCUSDT,5361.3,5365.42,4442.12,5028.97,227276.92,1113690309.1
2020-03-15,BTCUSDT,5172.06,5940,5093.1,5361.3,139916.15,753755706.43
2020-03-14,BTCUSDT,5578.6,5640.52,5055.13,5172.06,136910.14,736651880.92
2020-03-13,BTCUSDT,4800,5955,3782.13,5578.6,402201.67,2063819540.64
2020-03-12,BTCUSDT,7934.52,7966.17,4410,4800,261505.61,1628590104.22
2020-03-11,BTCUSDT,7894.56,7980,7590,7934.52,79942.41,624465167.36
2020-03-10,BTCUSDT,7929.87,8149,7728.01,7894.56,86783.44,689700153.45
2020-03-09,BTCUSDT,8033.31,8179.31,7632.01,7929.87,116968.86,918787729.09
2020-03-08,BTCUSDT,8886.66,8886.76,8000,8033.31,77537.32,656931544.78
2020-03-07,BTCUSDT,9131.88,9188,8835,8886.66,45422.2,409983263.79
2020-03-06,BTCUSDT,9054.68,9170,8985.5,9131.88,43782.95,397598476.42
2020-03-05,BTCUSDT,8750.87,9159.42,8746.54,9054.68,58201.87,524102029.2
2020-03-04,BTCUSDT,8760.07,8848.29,8660,8750.87,35610.41,311813642.76
2020-03-03,BTCUSDT,8915.24,8919.65,8651,8760.07,49980.86,438767223.35
2020-03-02,BTCUSDT,8531.88,8965.75,8498,8915.24,54638.61,478440593.36
2020-03-01,BTCUSDT,8523.61,8750,8411,8531.88,40093.04,343204951.47
2020-02-29,BTCUSDT,8692.91,8790,8523.55,8523.61,33946.24,294303059.74
2020-02-28,BTCUSDT,8823.21,8900,8445,8692.91,63915.27,553072839.45
2020-02-27,BTCUSDT,8785.25,8971.77,8531,8823.21,64744.22,569020533.94
2020-02-26,BTCUSDT,9315.84,9377.44,8633.63,8785.25,81913.46,738703381.02
2020-02-25,BTCUSDT,9656.13,9675,9250,9315.84,49267.24,466601727.79
2020-02-24,BTCUSDT,9936.4,9990,9473.56,9656.13,49996.67,485727423.88
2020-02-23,BTCUSDT,9650.86,9990,9645,9936.4,34442.06,339649718.72
2020-02-22,BTCUSDT,9677.05,9709.17,9560.02,9650.86,23022.78,221985357.42
2020-02-21,BTCUSDT,9596.42,9755.51,9550.21,9677.05,38430.85,371982905.01
2020-02-20,BTCUSDT,9593.79,9699,9400,9596.42,54231.78,519348208.84
2020-02-19,BTCUSDT,10164.71,10250,9350,9593.79,49147.48,488101944.43
2020-02-18,BTCUSDT,9706,10250,9576.01,10164.71,63790.89,629501237.49
2020-02-17,BTCUSDT,9917.27,9964.16,9452.67,9706,63050.14,610248386.2
2020-02-16,BTCUSDT,9904.72,10050,9638.12,9917.27,54058.8,533803666.97
2020-02-15,BTCUSDT,10344.36,10375,9801,9904.72,38225.68,386941941.13
2020-02-14,BTCUSDT,10229.63,10381.56,10111.37,10344.36,43024.5,441284907.11
2020-02-13,BTCUSDT,10326.46,10500,10080,10229.63,70225.77,721834854.0
2020-02-12,BTCUSDT,10223.08,10450,10223.08,10326.46,55160.49,569404621.3
2020-02-11,BTCUSDT,9851.83,10323.59,9700,10223.08,56258.38,563151083.45
2020-02-10,BTCUSDT,10151.75,10188,9756,9851.83,53866.71,533579979.93
2020-02-09,BTCUSDT,9895.05,10166,9880.75,10151.75,39817.75,401252974.18
2020-02-08,BTCUSDT,9813.73,9940,9667.11,9895.05,39960.5,392070766.77
2020-02-07,BTCUSDT,9772,9885,9730,9813.73,40374.42,395553053.5
2020-02-06,BTCUSDT,9612.04,9862.57,9526.35,9772,59349.94,576799852.35
2020-02-05,BTCUSDT,9197.02,9744.45,9177.22,9612.04,59261.36,560402763.42
2020-02-04,BTCUSDT,9292.24,9350,9093.01,9197.02,48880.11,450356686.57
2020-02-03,BTCUSDT,9331.51,9618.79,9234,9292.24,46211.66,432518251.02
2020-02-02,BTCUSDT,9384.61,9477.03,9120,9331.51,41945.81,393069356.06
2020-02-01,BTCUSDT,9352.89,9464.53,9281,9384.61,26746.06,250954187.45
2020-01-31,BTCUSDT,9513.21,9530.22,9210.01,9352.89,41761.34,390349472.82
2020-01-30,BTCUSDT,9301.53,9578,9204.44,9513.21,55439.48,520899545.93
2020-01-29,BTCUSDT,9374.21,9449.24,9216,9301.53,49045.52,458185206.44
2020-01-28,BTCUSDT,8907.57,9400,8862.4,9374.21,67139.07,609032042.18
